atomic number,symbol,name,mass density (g/cm3),atomic mass (g/mol),Fermi energy (eV),k Fermi (eV),plasmon energy (eV)
1,H,Hydrogen,0.0899,1.0079,1.0,70000000.0,15.0
2,He,Helium,0.1787,4.0026,1.0,70000000.0,15.0
3,Li,Lithium,0.53,6.941,4.7,110000000.0,7.1
4,Be,Beryllium,1.85,9.01218,1.0,70000000.0,18.7
5,B,Boron,2.34,10.81,1.0,70000000.0,22.7
6,C,Carbon,2.62,12.011,1.0,70000000.0,15.0
7,N,Nitrogen,1.251,14.0067,1.0,70000000.0,15.0
8,O,Oxygen,1.429,15.9994,1.0,70000000.0,15.0
9,F,Fluorine,1.696,18.998403,1.0,70000000.0,15.0
10,Ne,Neon,0.901,20.179,1.0,70000000.0,15.0
11,Na,Sodium,0.97,22.98977,3.1,90000000.0,5.7
12,Mg,Magnesium,1.74,24.305,1.0,70000000.0,10.3
13,Al,Aluminium,2.7,26.98154,1.0,70000000.0,15.0
14,Si,Silicon,2.33,28.0855,0.555,40000000.0,16.7
15,P,Phosphorus,1.82,30.97376,1.0,70000000.0,15.0
16,S,Sulfur,2.07,32.06,1.0,70000000.0,15.0
17,Cl,Chlorine,3.17,35.453,1.0,70000000.0,15.0
18,Ar,Argon,1.784,39.948,1.0,70000000.0,15.0
19,K,Potassium,0.86,39.0983,1.0,70000000.0,3.7
20,Ca,Calcium,1.55,40.08,1.0,70000000.0,8.8
21,Sc,Scandium,3.0,44.9559,1.0,70000000.0,14.0
22,Ti,Titanium,4.5,47.9,1.0,70000000.0,17.9
23,V,Vanadium,5.8,50.9415,1.0,70000000.0,21.8
24,Cr,Chromium,7.19,51.996,1.0,70000000.0,24.9
25,Mn,Manganese,7.43,54.938,1.0,70000000.0,21.6
26,Fe,Iron,7.86,55.847,1.0,70000000.0,23.0
27,Co,Cobalt,8.9,58.9332,1.0,70000000.0,20.9
28,Ni,Nickel,8.9,58.7,1.0,70000000.0,20.7
29,Cu,Copper,8.96,63.546,7.0,135000000.0,19.3
30,Zn,Zinc,7.14,65.38,1.0,70000000.0,17.2
31,Ga,Gallium,5.91,69.72,1.0,70000000.0,13.8
